,GEOID,Name,MW
0,53009,Clallam,159.47
1,53031,Jefferson,70.17
2,53027,Grays Harbor,155.15
3,53049,Pacific,39.33
4,53069,Wahkiakum,8.99
5,53045,Mason,166.28
6,53067,Thurston,536.07
7,41009,Columbia,180.65
8,53015,Cowlitz,189
9,53041,Lewis,180.51
10,53055,San Juan,17.51
11,53053,Pierce,1901.09
12,53035,Kitsap,655.95
13,53011,Clark,1031.53
14,53073,Whatcom,434.3
15,41051,Multnomah,1846.64
16,53057,Skagit,284.22
17,53029,Island,125.15
18,53033,King,4338.53
19,53061,Snohomish,1749.53
20,53059,Skamania,67.65
21,53039,Klickitat,115.78
22,53077,Yakima,463.47
23,53037,Kittitas,181.46
24,53007,Chelan,172.32
25,53047,Okanogan,96.86
26,53017,Douglas,93.62
27,53025,Grant,206.19
28,53005,Benton,472.17
29,53021,Franklin,187.97
30,53001,Adams,51.9
31,53071,Walla Walla,133.96
32,53019,Ferry,10.54
33,53043,Lincoln,18.18
34,53065,Stevens,124.97
35,53013,Columbia,18.92
36,53063,Spokane,1081.19
37,53075,Whitman,113.39
38,53003,Asotin,89.72
39,53051,Pend Oreille,28.94
40,16055,Kootenai,311.67
41,53023,Garfield,0
42,41011,Coos,154.48
43,41015,Curry,53.89
44,41039,Lane,850.67
45,41041,Lincoln,96.96
46,41007,Clatsop,41.54
47,41057,Tillamook,73.56
48,41019,Douglas,261.44
49,41033,Josephine,191.73
50,41071,Yamhill,202.98
51,41003,Benton,181.53
52,41053,Polk,185.21
53,41067,Washington,1178.54
54,41043,Linn,378.27
55,41029,Jackson,489
56,41047,Marion,639.68
57,41005,Clackamas,937.63
58,41035,Klamath,154.67
59,41027,Hood River,58.52
60,41017,Deschutes,382.54
61,41031,Jefferson,49.11
62,41013,Crook,45.08
63,41037,Lake,18.74
64,41049,Morrow,33.65
65,41059,Umatilla,162.89
66,41023,Grant,18.38
67,41025,Harney,17.59
68,41061,Union,64.05
69,41001,Baker,32.09
70,41045,Malheur,74.82
71,41063,Wallowa,16.82
72,41021,Gilliam,8.58
73,41055,Sherman,3.58
74,16003,Adams,2.61
75,6023,Humboldt,245.56
76,6015,Del Norte,51.47
77,6045,Mendocino,147.65
78,6105,Trinity,22.73
79,6097,Sonoma,769.23
80,6093,Siskiyou,78.02
81,6033,Lake,122.17
82,6089,Shasta,306.45
83,6103,Tehama,126.35
84,6011,Colusa,38.98
85,6021,Glenn,45.41
86,6113,Yolo,498.19
87,6007,Butte,407
88,6095,Solano,919.7
89,6101,Sutter,215.11
90,6067,Sacramento,2294.56
91,6115,Yuba,56.36
92,6061,Placer,684.99
93,6049,Modoc,20.35
94,6057,Nevada,199.64
95,6017,El Dorado,363
96,6035,Lassen,100.58
97,6063,Plumas,32.54
