Abbreviation,Name
AZPS,ARIZONA PUBLIC SERVICE COMPANY
AVA,AVISTA CORPORATION
BANC,BALANCING AUTHORITY OF NORTHERN CALIFORNIA
BPAT,BONNEVILLE POWER ADMINISTRATION
CHPD,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY
CISO,CALIFORNIA INDEPENDENT SYSTEM OPERATOR
DOPD,PUD NO. 1 OF DOUGLAS COUNTY
EPE,EL PASO ELECTRIC COMPANY
GCPD,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON"
IID,IMPERIAL IRRIGATION DISTRICT
IPCO,IDAHO POWER COMPANY
LDWP,LOS ANGELES DEPARTMENT OF WATER AND POWER
NEVP,NEVADA POWER COMPANY
NWMT,NORTHWESTERN ENERGY (NWMT)
PACE,PACIFICORP - EAST
PACW,PACIFICORP - WEST
PGE,PORTLAND GENERAL ELECTRIC COMPANY
PNM,PUBLIC SERVICE COMPANY OF NEW MEXICO
PSCO,PUBLIC SERVICE COMPANY OF COLORADO
PSEI,PUGET SOUND ENERGY
SCL,SEATTLE CITY LIGHT
SRP,SALT RIVER PROJECT
TEPC,TUCSON ELECTRIC POWER COMPANY
TIDC,TURLOCK IRRIGATION DISTRICT
TPWR,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION"
WACM,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
WALC,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION
WAUW,WESTERN AREA POWER ADMINISTRATION UGP WEST
