,AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
8,87.0,0.0,0.0,0.0,0,2703.0,0,62.0,0,32.0,4.0,94.0,42.0,0.0,108.0,3.0,0,157.0,137.0,0,0,227.0,112.0,0,0,11.0,11.0,0
9,171.0,1.0,16.0,0.0,0,5640.0,0,81.0,0,103.0,14.0,436.0,191.0,2.0,52.0,42.0,0,241.0,257.0,0,0,518.0,151.0,0,0,31.0,24.0,0
10,230.0,3.0,27.0,0.0,0,6699.0,0,83.0,0,121.0,26.0,717.0,424.0,6.0,575.0,29.0,0,244.0,215.0,0,0,542.0,150.0,0,0,36.0,20.0,0
11,302.0,2.0,58.0,0.0,0,6483.0,0,82.0,0,113.0,32.0,709.0,391.0,4.0,265.0,104.0,0,241.0,159.0,0,0,570.0,147.0,0,0,36.0,18.0,0
12,326.0,5.0,71.0,1.0,0,6305.0,0,82.0,0,109.0,41.0,633.0,349.0,4.0,420.0,69.0,0,233.0,118.0,0,0,544.0,142.0,0,0,27.0,21.0,0
13,314.0,4.0,86.0,1.0,0,5004.0,0,84.0,0,116.0,49.0,662.0,326.0,5.0,333.0,106.0,0,226.0,105.0,0,0,431.0,129.0,0,0,35.0,20.0,0
14,308.0,3.0,48.0,1.0,0,6195.0,0,85.0,0,102.0,76.0,659.0,520.0,3.0,228.0,110.0,0,197.0,88.0,0,0,409.0,140.0,0,0,33.0,18.0,0
15,268.0,1.0,30.0,2.0,0,4346.0,0,76.0,0,90.0,68.0,596.0,541.0,0.0,228.0,88.0,0,115.0,71.0,0,0,327.0,100.0,0,0,28.0,20.0,0
16,197.0,4.0,16.0,1.0,0,1281.0,0,30.0,0,40.0,31.0,375.0,291.0,0.0,80.0,40.0,0,18.0,10.0,0,0,225.0,10.0,0,0,8.0,16.0,0
17,71.0,0.0,4.0,0.0,0,41.0,0,0.0,0,4.0,0.0,31.0,4.0,0.0,8.0,5.0,0,0.0,0.0,0,0,14.0,0.0,0,0,0.0,1.0,0
18,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
19,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
22,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
25,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
27,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
30,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
31,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
32,86.0,0.0,1.0,0.0,0,3085.0,0,15.0,0,32.0,5.0,125.0,146.0,0.0,108.0,3.0,0,32.0,42.0,0,0,218.0,109.0,0,0,11.0,11.0,0
33,211.0,1.0,16.0,1.0,0,5978.0,0,22.0,0,103.0,50.0,550.0,510.0,1.0,480.0,42.0,0,71.0,98.0,0,0,545.0,144.0,0,0,31.0,24.0,0
34,319.0,3.0,27.0,1.0,0,6318.0,0,39.0,0,135.0,98.0,830.0,613.0,5.0,575.0,107.0,0,86.0,163.0,0,0,655.0,145.0,0,0,36.0,24.0,0
35,332.0,5.0,58.0,2.0,0,6926.0,0,52.0,0,134.0,84.0,891.0,593.0,5.0,584.0,104.0,0,128.0,191.0,0,0,651.0,149.0,0,0,36.0,23.0,0
36,341.0,5.0,71.0,1.0,0,6573.0,0,45.0,0,133.0,102.0,902.0,561.0,6.0,562.0,88.0,0,124.0,234.0,0,0,638.0,147.0,0,0,27.0,23.0,0
37,351.0,4.0,75.0,1.0,0,6760.0,0,28.0,0,130.0,94.0,881.0,566.0,1.0,578.0,94.0,0,125.0,260.0,0,0,622.0,137.0,0,0,35.0,22.0,0
38,353.0,3.0,88.0,1.0,0,6586.0,0,41.0,0,115.0,74.0,753.0,595.0,2.0,615.0,98.0,0,112.0,279.0,0,0,670.0,147.0,0,0,33.0,25.0,0
39,352.0,1.0,80.0,1.0,0,4825.0,0,32.0,0,102.0,36.0,608.0,585.0,0.0,602.0,103.0,0,75.0,186.0,0,0,586.0,116.0,0,0,28.0,24.0,0
40,251.0,1.0,47.0,1.0,0,1416.0,0,4.0,0,66.0,14.0,246.0,303.0,0.0,251.0,59.0,0,17.0,18.0,0,0,286.0,17.0,0,0,8.0,17.0,0
41,149.0,0.0,11.0,0.0,0,51.0,0,0.0,0,5.0,0.0,34.0,20.0,0.0,3.0,10.0,0,0.0,0.0,0,0,15.0,0.0,0,0,0.0,1.0,0
42,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
